Client,Available,DC_Margin,DCpcnt,PL_Margin,DC_PSbyPL,DT,DC_DT
6760,1369.0,728.08,53.183345507669834,975.24,74.65649481153358,18-03-2024 14:38:35,18 MAR 2024 14:36:57
9771,400.0,194.17000000000002,48.542500000000004,220.37,88.1109043880746,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2003,115.9927,81.53999999999999,70.29752734439322,88.61,92.0212165669789,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2051,52.921099999999996,32.43,61.279905368558104,43.05,75.33101045296168,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2660,20.9466,11.79,56.28598436023029,15.79,74.6675110829639,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3596,16.3322,10.06,61.596110750541875,13.51,74.46336047372317,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2056,14.9584,9.120000000000001,60.9690876029522,12.22,74.63175122749591,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3599,16.8661,8.14,48.262491032307416,11.57,70.35436473638721,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3617,20.1991,6.54,32.37768019367199,8.52,76.7605633802817,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3613,6.2052,5.4399999999999995,87.6684071423967,5.44,99.99999999999999,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2757,5.7303999999999995,4.67,81.49518358229793,4.67,100.0,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3610,15.643699999999999,4.619999999999999,29.532655318115275,5.58,82.79569892473117,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3620,8.7517,4.029999999999999,46.04819635042334,5.19,77.64932562620423,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3616,10.1339,3.85,37.99129653933826,5.05,76.23762376237624,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3615,12.0614,3.6199999999999997,30.013099640174435,4.71,76.85774946921443,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3600,10.2279,3.51,34.31789516909629,4.8,73.125,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3607,10.0934,3.49,34.57705034973349,5.12,68.1640625,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3595,10.1189,2.95,29.153366472640307,4.03,73.20099255583126,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3625,4.9584,2.6900000000000004,54.25137141013231,3.13,85.94249201277957,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3624,7.632000000000001,2.48,32.494758909853246,3.05,81.31147540983606,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3542,4.5609,2.41,52.840448157161966,3.64,66.20879120879121,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3577,3.6101,2.35,65.09514971884435,9.05,25.96685082872928,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3601,2.0742,1.79,86.29833188699259,1.79,100.0,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3619,2.0591,1.79,86.93118352678356,1.79,100.0,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2994,1.8113,0.76,41.9588141114117,0.8,95.0,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3605,3.0541,0.6699999999999999,21.937723060803506,1.09,61.467889908256865,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3535,0.8340000000000001,0.65,77.93764988009592,0.73,89.04109589041096,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3623,1.7905000000000002,0.62,34.627199106394855,1.02,60.78431372549019,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2928,1.1952,0.5900000000000001,49.36412315930389,0.61,96.72131147540985,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2985,0.7132999999999999,0.39,54.67545212393104,0.43,90.69767441860466,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2748,5.021100000000001,0.1,1.9915954671287168,0.1,100.0,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3627,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3633,1.0059,0.0,0.0,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3603,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3604,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3602,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3618,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3622,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3608,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3621,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3606,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2055,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3598,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2996,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2640,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2721,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2794,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2895,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2902,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2903,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2922,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2948,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2984,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3500,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3597,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3549,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3552,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3553,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3570,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3583,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3584,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3591,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
2050,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3594,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
3593,0.0,0.0,,0.0,,18-03-2024 14:38:35,18 MAR 2024 14:36:57
